method,split,AUUC_version,AUUC,AUUC_thout,AUUC_emp
NO0.1,5,AUUC_cr_V2,1389.9567503713095,893.75,1389.9567503713095
NO0.1,5,AUUC_cr_V1V2(0.5),1154.1134486366648,893.7500000000026,1154.1134486366648
NO0.5,5,AUUC_cr_V1,957.7383236158394,871.2500000000016,957.7383236158394
NO0.5,5,AUUC_cr_V2,1304.677172327927,871.25,1304.677172327927
NO0.5,5,AUUC_cr_V1V2(0.5),1131.2077479718862,871.2500000000024,1131.2077479718862
NO1.0,5,AUUC_cr_V1,918.9992485089484,813.7500000000016,918.9992485089484
NO1.0,5,AUUC_cr_V2,1220.9534015784066,813.75,1220.9534015784066
NO1.0,5,AUUC_cr_V1V2(0.5),1069.9763250436806,813.7500000000024,1069.9763250436806
NO2.0,5,AUUC_cr_V1,935.6392852829772,793.7500000000014,935.6392852829772
NO2.0,5,AUUC_cr_V2,1080.5907391323692,793.75,1080.5907391323692
NO2.0,5,AUUC_cr_V1V2(0.5),1008.1150122076764,793.7500000000026,1008.1150122076764
RAND,6,AUUC_cr_V1,557.0965000356518,562.5000000000009,557.0965000356518
RAND,6,AUUC_cr_V2,557.0965000356773,562.5,557.0965000356773
RAND,6,AUUC_cr_V1V2(0.5),557.0965000356609,562.5,557.0965000356609
Oracle,6,AUUC_cr_V1,830.3622113350151,893.7500000000016,830.3622113350151
Oracle,6,AUUC_cr_V2,1004.7609613462015,893.75,1004.7609613462015
Oracle,6,AUUC_cr_V1V2(0.5),917.5615863406088,893.7500000000026,917.5615863406088
NO0.1,6,AUUC_cr_V1,830.3622113350151,893.7500000000016,830.3622113350151
NO0.1,6,AUUC_cr_V2,1004.7609613462015,893.75,1004.7609613462015
NO0.1,6,AUUC_cr_V1V2(0.5),917.5615863406088,893.7500000000026,917.5615863406088
NO0.5,6,AUUC_cr_V1,743.2061020115491,818.7500000000016,743.2061020115491
NO0.5,6,AUUC_cr_V2,695.2983880085054,818.75,695.2983880085054
NO0.5,6,AUUC_cr_V1V2(0.5),719.2522450100325,818.7500000000011,719.2522450100325
NO1.0,6,AUUC_cr_V1,673.6138629658285,781.2500000000016,673.6138629658285
NO1.0,6,AUUC_cr_V2,536.679914957085,781.25,536.679914957085
NO1.0,6,AUUC_cr_V1V2(0.5),605.1468889614616,781.2500000000009,605.1468889614616
NO2.0,6,AUUC_cr_V1,638.3352540710118,751.2500000000016,638.3352540710118
NO2.0,6,AUUC_cr_V2,442.2882360584849,751.25,442.2882360584849
NO2.0,6,AUUC_cr_V1V2(0.5),540.3117450647536,751.2500000000009,540.3117450647536
RAND,7,AUUC_cr_V1,467.5153287147582,562.5000000000009,467.5153287147582
RAND,7,AUUC_cr_V2,467.51532871472955,562.5,467.51532871472955
RAND,7,AUUC_cr_V1V2(0.5),467.51532871474774,562.5,467.51532871474774
Oracle,7,AUUC_cr_V1,780.1130395907389,893.7500000000016,780.1130395907389
Oracle,7,AUUC_cr_V2,1245.875694747956,893.75,1245.875694747956
Oracle,7,AUUC_cr_V1V2(0.5),1012.9943671693401,893.7500000000026,1012.9943671693401
NO0.1,7,AUUC_cr_V1,799.7830957854229,891.2500000000016,799.7830957854229
