method,split,AUUC_version,AUUC,AUUC_thout,AUUC_emp
RAND,16,AUUC_cr_V1V2(0.5),750.7190949881624,562.5,750.7190949881624
Oracle,16,AUUC_cr_V1,1091.6098228162418,893.7500000000016,1091.6098228162418
Oracle,16,AUUC_cr_V2,956.4208667918335,893.75,956.4208667918335
Oracle,16,AUUC_cr_V1V2(0.5),1024.0153448040387,893.7500000000026,1024.0153448040387
NO0.1,16,AUUC_cr_V1,1076.1173092586612,891.2500000000016,1076.1173092586612
NO0.1,16,AUUC_cr_V2,939.8766732819795,891.25,939.8766732819795
NO0.1,16,AUUC_cr_V1V2(0.5),1007.9969912703216,891.2500000000024,1007.9969912703216
NO0.5,16,AUUC_cr_V1,1058.33396910273,876.2500000000016,1058.33396910273
NO0.5,16,AUUC_cr_V2,951.7885795130676,876.25,951.7885795130676
NO0.5,16,AUUC_cr_V1V2(0.5),1005.0612743078997,876.2500000000019,1005.0612743078997
NO1.0,16,AUUC_cr_V1,1047.5403972388096,861.2500000000016,1047.5403972388096
NO1.0,16,AUUC_cr_V2,922.259904534552,861.25,922.259904534552
NO1.0,16,AUUC_cr_V1V2(0.5),984.9001508866813,861.2500000000019,984.9001508866813
NO2.0,16,AUUC_cr_V1,1025.6959312587678,851.2500000000016,1025.6959312587678
NO2.0,16,AUUC_cr_V2,843.2894840786589,851.25,843.2894840786589
NO2.0,16,AUUC_cr_V1V2(0.5),934.4927076687136,851.2500000000017,934.4927076687136
RAND,17,AUUC_cr_V1,404.1649286251827,562.5000000000009,404.1649286251827
RAND,17,AUUC_cr_V2,404.16492862519226,562.5,404.16492862519226
RAND,17,AUUC_cr_V1V2(0.5),404.1649286251959,562.5,404.1649286251959
Oracle,17,AUUC_cr_V1,706.1148228850192,893.7500000000016,706.1148228850192
Oracle,17,AUUC_cr_V2,1118.0272633392028,893.75,1118.0272633392028
Oracle,17,AUUC_cr_V1V2(0.5),912.0710431121145,893.7500000000026,912.0710431121145
NO0.1,17,AUUC_cr_V1,706.1148228850192,893.7500000000016,706.1148228850192
NO0.1,17,AUUC_cr_V2,1118.0272633392028,893.75,1118.0272633392028
